round,J,SR,CR,timeout,minimum_clearance
0,0.5142857142857143,0.5742857142857143,0.4257142857142857,0.0,0.017076310922925407
19,0.8457142857142858,0.96,0.04,0.0,0.055687068230544444
20,0.8514285714285714,0.9628571428571429,0.037142857142857144,0.0,0.0557344403739673
