round,J,SR,CR,timeout,minimum_clearance
0,0.29142857142857137,0.36,0.64,0.0,0.0017398779847293947
25,0.18285714285714286,0.6657142857142857,0.3342857142857143,0.0,0.015401743013926173
100,0.09714285714285713,0.7314285714285714,0.26857142857142857,0.0,0.022936609767310004
